Name,Datum,Art,Schwelle,Anteil,Anteil 21_22,id,Kommentar
adidas AG,17.05.2013,<,5%,0%,"0,05%",id_11129161.html,
adidas AG,17.05.2013,<,5%,2.10%,"0,05%",id_11129164.html,
adidas AG,17.05.2013,<,"5%, 3%",0.05%,"0,04%",id_11129165.html,"mehrere Daten, "
Continental AG,10.05.2013,>,5%,5.03%,"4,74%",id_11144587.html,
Continental AG,23.05.2013,<,5%,0%,"0,01%",id_11144589.html,
Continental AG,23.05.2013,<,3%,0.01%,"0,01%",id_11144590.html,"mehrere Daten, "
Fresenius Medical Care AG & Co. KGaA,17.05.2013,>,5%,???,"2,00%",id_11144943.html,"anteil unklar, "
Deutsche Bank AG,23.05.2013,>,"5%, 10%",12.15%,"2,60%",id_11152095.html,
Deutsche Bank AG,23.05.2013,>,"5%, 10%",10.7%,"2,6%",id_11152096.html,
LANXESS Aktiengesellschaft,23.05.2013,>,5%,8.05%,"2,33%",id_11156343.html,
LANXESS Aktiengesellschaft,23.05.2013,>,"5%, 10%",10.94%,"2,33%",id_11156353.html,
Linde AG,24.05.2013,>,5%,???,"4,78%",id_11156374.html,"anteil unklar, "
Linde AG,24.05.2013,>,3%,???,???,id_11156376.html,"anteil unklar, §21,22 unklar, "
Linde AG,24.05.2013,>,5%,???,"4,78%",id_11156385.html,"anteil unklar, "
Fresenius Medical Care AG & Co. KGaA,28.05.2013,<,5%,0%,"0,02%",id_11164620.html,
Fresenius Medical Care AG & Co. KGaA,28.05.2013,<,5%,0.66%,"0,02%",id_11164621.html,
Deutsche Bank AG,23.05.2013,>,"5%, 10%",10.70%,"2,60%",id_11164718.html,
Deutsche Bank AG,05.06.2013,<,"10%, 5%",1.99%,"0,03%",id_11189204.html,
Deutsche Bank AG,05.06.2013,<,"10%, 5%",0%,"0,03%",id_11189223.html,
LANXESS Aktiengesellschaft,04.06.2013,<,"10%, 5%",2.98%,"0,02%",id_11189248.html,
LANXESS Aktiengesellschaft,04.06.2013,<,5%,0%,"0,02%",id_11189249.html,
comdirect bank AG,3.06.2013,<,75%,0.00%,0.00%,id_11193231.html,
Linde AG,10.06.2013,<,5%,???,"0,07%",id_11198733.html,"anteil unklar, "
Brenntag AG,18.06.2013,>,5%,6.14%,"4,55%",id_11253923.html,
Brenntag AG,18.06.2013,>,5%,6.08%,"4,55%",id_11253927.html,
Brenntag AG,18.06.2013,>,3%,4.55%,"0,04%",id_11253933.html,"mehrere Daten, "
Brenntag AG,28.06.2013,<,5%,0.06%,"0,04%",id_11277133.html,
Brenntag AG,28.06.2013,<,3%,0.04%,"0,03%",id_11277134.html,"mehrere Daten, "
Brenntag AG,28.06.2013,<,5%,0.00%,"0,04%",id_11288351.html,
WCM Beteiligungs- und Grundbesitz-AG,29.01.2013,>,3%,3.06%,???,id_11549529.html,"mehrere Daten, §21,22 unklar, "
Continental AG,19.09.2013,<,50%,46.17%,"0,01%",id_11592711.html,
WCM Beteiligungs- und Grundbesitz-AG,26.09.2013,<,3%,2.95%,???,id_11645352.html,"mehrere Daten, §21,22 unklar, "
TOM TAILOR Holding AG,28.10.2013,<,5%,0%,0%,id_11746967.html,
TOM TAILOR Holding AG,24.10.2013,>,5%,7.14%,"7,11%",id_11746973.html,
TOM TAILOR Holding AG,24.10.2013,<>,"3%, von5%",7.11%,???,id_11746976.html,"mehrere Daten, §21,22 unklar, 2 in 1er Meldung, "
SHW AG,04.11.2013,>,5%,14.61%,"0,03%",id_11785345.html,
SHW AG,07.11.2013,<,10%,0.03%,"0,03%",id_11785346.html,
DIC Asset AG,27.11.2013,<>,3%,12.32%,12.32%,id_11904224.html,"mehrere Daten, 2 in 1er Meldung, "
ThyssenKrupp AG,06.12.2013,<,"10%, 5%",0%,"0,002%",id_11940054.html,
ThyssenKrupp AG,03.12.2013,>,"5%, 10%",10.32%,"9,39%",id_11940056.html,
ThyssenKrupp AG,3.12.2013,>,"3%, 5%",???,"0,002%",id_11940126.html,"anteil unklar, "
ThyssenKrupp AG,06.12.2013,<,"10%, 5%",0.97%,"0,002%",id_11940249.html,
ThyssenKrupp AG,6.12.2013,<,"3%, 5%",???,???,id_11940362.html,"anteil unklar, "
ThyssenKrupp AG,03.12.2013,>,"5%, 10%",11.28%,"9,39%",id_11940579.html,
WCM Beteiligungs- und Grundbesitz-AG,26.09.2013,<,3%,2.95%,???,id_12437774.html,"mehrere Daten, §21,22 unklar, "
WCM Beteiligungs- und Grundbesitz-AG,29.01.2013,>,3%,3.06%,???,id_12437781.html,"mehrere Daten, §21,22 unklar, "
Siemens Aktiengesellschaft,24.01.2014,>,5%,5.33%,"1,36%",id_12458011.html,
Siemens Aktiengesellschaft,27.01.2014,>,3%,3.25%,"0,02%",id_12458034.html,"mehrere Daten, "
Siemens Aktiengesellschaft,24.01.2014,>,5%,7.47%,"1,36%",id_12458040.html,
Siemens Aktiengesellschaft,06.02.2014,<,5%,2.67%,"0,02%",id_12582655.html,
Siemens Aktiengesellschaft,05.02.2014,<,3%,2.16%,"0,02%",id_12582657.html,"mehrere Daten, "
Siemens Aktiengesellschaft,06.02.2014,<,5%,0%,"0,02%",id_12585047.html,
Wirecard AG,27.02.2014,<>,5%,9.22%,"9,12%",id_12746902.html,"2 in 1er Meldung, "
Wirecard AG,27.02.2014,<>,"3%, 5%",???,???,id_12746905.html,"mehrere Daten, anteil unklar, §21,22 unklar, 2 in 1er Meldung, "
Wirecard AG,27.02.2014,<>,5%,9.22%,"9,12%",id_12746920.html,"2 in 1er Meldung, "
